lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,3,0.9053781574220039,0.9053781574220039,0.9053781574220039,0.6776135603488533,0.9053781574220039,0.9053781574220039,0.9053781574220039,0.9053781574220039
bank,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,0,0.06415295773280924,0.06415295773280924,0.06415295773280924,0.06415295773280924,0.06415295773280924,0.06415295773280924,0.06415295773280924,0.06415295773280924
bat,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pitch,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pitch,3,0.8084674663271461,0.8084674663271461,0.8084674663271461,0.8084674663271461,0.8084674663271461,0.8084674663271461,0.8084674663271461,0.8084674663271461
pitch,6,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161
