lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.615622149944307,2.671029930130912,2.679018527171431,2.634520159241319,2.615622149944307,2.6405436310596038,2.615622149944307,2.634520159241319
bank,3,1.4952768566012504,1.4952768566012504,1.4952768566012504,1.4952768566012504,1.4952768566012504,1.4952768566012504,1.4952768566012504,1.4952768566012504
bank,6,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604
bat,0,1.705450750585029,1.705450750585029,1.7420340119986872,1.705450750585029,1.395756120361018,1.705450750585029,1.705450750585029,1.705450750585029
bat,3,1.3936743191000418,1.3936743191000418,1.3936743191000418,1.3936743191000418,1.3936743191000418,1.3936743191000418,1.3936743191000418,1.3936743191000418
bat,6,1.3021621085741482,1.3021621085741482,1.3021621085741482,1.3021621085741482,1.3021621085741482,1.3021621085741482,1.3021621085741482,1.3021621085741482
pitch,0,1.7147471582335283,1.7147471582335283,1.7147471582335283,1.7147471582335283,1.7147471582335283,1.7147471582335283,1.7147471582335283,1.7147471582335283
pitch,3,1.5000263940346856,1.5000263940346856,1.5000263940346856,1.5000263940346856,1.5000263940346856,1.5000263940346856,1.5000263940346856,1.5000263940346856
pitch,6,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834
run,0,2.649867480921163,2.6112630765665124,2.6275345155184078,2.6112630765665124,2.6275345155184078,2.5664072160958877,2.6112630765665124,2.6112630765665124
run,3,1.430473729044916,1.430473729044916,1.430473729044916,1.430473729044916,1.4333471447671595,1.4333471447671595,1.430473729044916,1.430473729044916
run,6,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063
