lemma,layer,value
bank,0,0.0
bank,3,0.8409954923351354
bank,6,1.0
bat,0,0.10726824965757208
bat,3,1.0
bat,6,1.0
pitch,0,0.0
pitch,3,0.6810286521575917
pitch,6,0.8008084922779263
