lemma,layer,value
bank,0,0.0
bank,3,0.0
bank,6,0.0
bat,0,0.11405295315682282
bat,3,0.11405295315682282
bat,6,0.11405295315682282
pitch,0,0.0
pitch,3,0.0
pitch,6,0.0
