lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.9825531244277954,0.9825531244277954,0.9825531244277954,0.9825531244277954,0.9825531244277954,0.9825531244277954,0.9825531244277954,0.9825531244277954
bank,4,0.0557655468583107,0.0557655468583107,0.0557655468583107,0.0557655468583107,0.0557655468583107,0.0557655468583107,0.0557655468583107,0.0557655468583107
bank,8,0.04019252583384514,0.04019252583384514,0.04019252583384514,0.04019252583384514,0.04019252583384514,0.04019252583384514,0.04019252583384514,0.04019252583384514
bank,12,0.06912288814783096,0.06912288814783096,0.06912288814783096,0.06912288814783096,0.06912288814783096,0.06912288814783096,0.06912288814783096,0.06912288814783096
bat,0,0.8435186147689819,0.8435186147689819,0.8435186147689819,0.8435186147689819,0.8435186147689819,0.8435186147689819,0.8435186147689819,0.8435186147689819
bat,4,0.2854042649269104,0.2854042649269104,0.2854042649269104,0.2854042649269104,0.2854042649269104,0.2854042649269104,0.2854042649269104,0.2854042649269104
bat,8,0.3088703751564026,0.3088703751564026,0.3088703751564026,0.3088703751564026,0.3088703751564026,0.3088703751564026,0.3088703751564026,0.3088703751564026
bat,12,0.212981179356575,0.212981179356575,0.212981179356575,0.212981179356575,0.212981179356575,0.212981179356575,0.212981179356575,0.212981179356575
pitch,0,0.9439705014228821,0.9439705014228821,0.9439705014228821,0.9439705014228821,0.9439705014228821,0.9439705014228821,0.9439705014228821,0.9439705014228821
pitch,4,0.13696463406085968,0.13696463406085968,0.13696463406085968,0.13696463406085968,0.13696463406085968,0.13696463406085968,0.13696463406085968,0.13696463406085968
pitch,8,0.09337858110666275,0.09337858110666275,0.09337858110666275,0.09337858110666275,0.09337858110666275,0.09337858110666275,0.09337858110666275,0.09337858110666275
pitch,12,0.13517498970031738,0.13517498970031738,0.13517498970031738,0.13517498970031738,0.13517498970031738,0.13517498970031738,0.13517498970031738,0.13517498970031738
