lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.14851003650252576,0.14851003650252576,0.14851003650252576,0.14851003650252576,0.14851003650252576,0.14851003650252576,0.14851003650252576,0.14851003650252576
bank,4,0.8409954923351354,0.8409954923351354,0.8409954923351354,0.8409954923351354,0.8409954923351354,0.8409954923351354,0.8409954923351354,0.8409954923351354
bank,8,0.5963650677485745,0.5963650677485745,0.5963650677485745,0.5963650677485745,0.5963650677485745,0.5963650677485745,0.5963650677485745,0.5963650677485745
bank,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,0,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582
bat,4,0.6252573208046709,0.6252573208046709,0.6252573208046709,0.6252573208046709,0.6252573208046709,0.6252573208046709,0.6252573208046709,0.6252573208046709
bat,8,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582,0.5064031317037582
bat,12,0.8123117587383102,0.8123117587383102,0.8123117587383102,0.8123117587383102,0.8123117587383102,0.8123117587383102,0.8123117587383102,0.8123117587383102
pitch,0,0.14579263497931902,0.14579263497931902,0.14579263497931902,0.14579263497931902,0.14579263497931902,0.14579263497931902,0.14579263497931902,0.14579263497931902
pitch,4,0.4173037174743427,0.4173037174743427,0.4173037174743427,0.4173037174743427,0.4173037174743427,0.4173037174743427,0.4173037174743427,0.4173037174743427
pitch,8,0.4620425361983233,0.4620425361983233,0.4620425361983233,0.4620425361983233,0.4620425361983233,0.4620425361983233,0.4620425361983233,0.4620425361983233
pitch,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
