lemma,layer,value
bank,0,1.7102023363113403
bank,4,40.52664566040039
bank,8,35.32311248779297
bank,12,30.878307342529297
bat,0,4.345816135406494
bat,4,16.611587524414062
bat,8,17.157184600830078
bat,12,14.473175048828125
pitch,0,2.1224067211151123
pitch,4,23.449758529663086
pitch,8,23.619796752929688
pitch,12,28.656801223754883
