lemma,layer,value
bank,0,0.025436608120799065
bank,4,0.34644055366516113
bank,8,0.31867241859436035
bank,12,0.30600041151046753
bat,0,0.14776748418807983
bat,4,0.33644992113113403
bat,8,0.35300540924072266
bat,12,0.3146854341030121
pitch,0,0.008179166354238987
pitch,4,0.2412940412759781
pitch,8,0.2536430358886719
pitch,12,0.28930190205574036
