lemma,layer,value
bank,0,6.0726160723630755
bank,4,1.4120890725482491
bank,8,1.4051710893025218
bank,12,1.5265093478855807
bat,0,2.4270285349615195
bat,4,1.2057504768998464
bat,8,1.2290366182892294
bat,12,1.3215083134473515
pitch,0,5.070274558991697
pitch,4,1.50369264705526
pitch,8,1.5459273230800028
pitch,12,1.4065273446455058
