lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.630368074507754,2.630368074507754,2.630368074507754,2.630368074507754,2.630368074507754,2.630368074507754,2.630368074507754,2.630368074507754
bank,2,1.7703060915292674,1.7703060915292674,1.7703060915292674,1.7703060915292674,1.7703060915292674,1.7703060915292674,1.7703060915292674,1.7703060915292674
bank,4,1.2969298824264426,1.2969298824264426,1.2969298824264426,1.2969298824264426,1.2969298824264426,1.2969298824264426,1.2969298824264426,1.2969298824264426
bank,6,1.036601915512848,1.036601915512848,1.036601915512848,1.036601915512848,1.036601915512848,1.036601915512848,1.036601915512848,1.036601915512848
bat,0,1.6162475703035664,1.6162475703035664,1.6162475703035664,1.6162475703035664,1.6162475703035664,1.6162475703035664,1.6162475703035664,1.6162475703035664
bat,2,1.4432625047483743,1.4432625047483743,1.4432625047483743,1.4432625047483743,1.4432625047483743,1.4432625047483743,1.4432625047483743,1.4432625047483743
bat,4,1.5001199728591081,1.5001199728591081,1.5001199728591081,1.5001199728591081,1.5001199728591081,1.5001199728591081,1.5001199728591081,1.5001199728591081
bat,6,1.2877231930836053,1.2877231930836053,1.2877231930836053,1.2877231930836053,1.2877231930836053,1.2877231930836053,1.2877231930836053,1.2877231930836053
pitch,0,1.5122930143748274,1.5122930143748274,1.5122930143748274,1.5122930143748274,1.5122930143748274,1.5122930143748274,1.5122930143748274,1.5122930143748274
pitch,2,1.6806288746956262,1.6806288746956262,1.6806288746956262,1.6806288746956262,1.6806288746956262,1.6806288746956262,1.6806288746956262,1.6806288746956262
pitch,4,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401
pitch,6,1.0855471526965594,1.0855471526965594,1.0855471526965594,1.0855471526965594,1.0855471526965594,1.0855471526965594,1.0855471526965594,1.0855471526965594
run,0,2.7240825159484583,2.7240825159484583,2.7240825159484583,2.7240825159484583,2.7240825159484583,2.7240825159484583,2.7240825159484583,2.7240825159484583
run,2,1.5177023581500881,1.5177023581500881,1.5177023581500881,1.5177023581500881,1.5177023581500881,1.5177023581500881,1.5177023581500881,1.5177023581500881
run,4,1.430826158162925,1.430826158162925,1.430826158162925,1.430826158162925,1.430826158162925,1.430826158162925,1.430826158162925,1.430826158162925
run,6,1.2802953175860023,1.2802953175860023,1.2802953175860023,1.2802953175860023,1.2802953175860023,1.2802953175860023,1.2802953175860023,1.2802953175860023
